URL,Primary keyword,Secondary/supporting keywords,Search intent
https://bratgeneratorpro.net/,brat generator,"brat text generator; brat album cover maker; brat meme generator",Tool / transactional
https://bratgeneratorpro.net/features/,brat generator features,"Brat generator free; real-time preview; no watermark; Brat green preset",Commercial informational
https://bratgeneratorpro.net/how-to-use/,how to use brat generator,"Brat Generator tutorial; Brat green; blur; download PNG",Informational / tool-assisted
https://bratgeneratorpro.net/brat-styles/,brat styles,"Brat green; Brat green hex; black; white; pink; custom colours",Informational / inspiration
https://bratgeneratorpro.net/video-generator/,brat video generator,"animated Brat video; Brat-style video maker",Tool / transactional
https://bratgeneratorpro.net/blog/,brat generator guides,"Brat Generator tips; tutorials; troubleshooting",Informational hub
https://bratgeneratorpro.net/blog/how-to-make-a-brat-album-cover-free/,how to make a brat album cover,"brat album cover generator; brat album cover maker",Informational / tool-assisted
https://bratgeneratorpro.net/blog/brat-generator-not-working/,brat generator not working,"download not working; blurry text; clipped text; mobile download",Troubleshooting
https://bratgeneratorpro.net/about/,about brat generator,"fan-made Brat Generator; browser-based design tool",Trust / navigational
https://bratgeneratorpro.net/contact/,contact brat generator,"support; bug report; rights concerns",Navigational
https://bratgeneratorpro.net/privacy-policy/,brat generator privacy policy,"browser processing; privacy; analytics",Trust / legal
https://bratgeneratorpro.net/terms/,brat generator terms,"disclaimer; acceptable use; commercial use",Trust / legal
