URL,Page Role,Primary Keyword,Secondary / Semantic Keywords,Search Intent,Cannibalization Guard
https://bratgeneratorpro.net/,Primary tool landing page,brat generator,"free brat generator; brat text generator; brat album cover maker; brat meme generator; no watermark brat generator",Create/use a Brat-style image tool,"Own the broad 'brat generator' query; supporting pages should link back rather than repeat this page's broad title/H1."
https://bratgeneratorpro.net/features/,Feature overview,brat generator features,"live preview; no watermark; no sign-up; Brat green preset; image export formats; canvas sizes",Evaluate tool capabilities,"Focus on features/benefits; do not target the broad 'brat generator' phrase as the page's sole topic."
https://bratgeneratorpro.net/how-to-use/,Tutorial,how to use brat generator,"brat generator tutorial; brat generator sizes; PNG JPG WebP; mobile brat generator; download brat image",Learn how to use the tool,"Own step-by-step/tutorial intent; homepage only gives a short 4-step summary and links here for the full guide."
https://bratgeneratorpro.net/brat-styles/,Style/colour guide,brat styles,"brat green hex; brat colours; brat generator black; brat generator white; brat generator pink; brat font style",Compare/recreate visual styles,"Own colour/style intent; album-cover post mentions colour only as part of the cover workflow."
https://bratgeneratorpro.net/video-generator/,Video/animation tool landing page,brat video generator,"animated brat text; lyric-style text preview; audio preview; FPS controls; MP4 GIF frame settings",Use/explore animated Brat-style workflow,"Own video intent; image generator pages should not present themselves as the video tool."
https://bratgeneratorpro.net/blog/,Editorial hub,brat generator guides,"brat tutorials; brat cover guides; brat colour guides; brat font guidance; brat generator fixes",Browse informational resources,"Acts as a hub; individual articles own specific how-to/troubleshooting queries."
https://bratgeneratorpro.net/blog/how-to-make-a-brat-album-cover-free/,Album-cover tutorial,how to make a brat album cover,"brat album cover generator; brat album cover size; brat green; Arial-style brat font; free brat album cover",Create a Brat-inspired album cover,"Own album-cover workflow intent; homepage tool owns generic 'brat generator'."
https://bratgeneratorpro.net/blog/brat-generator-not-working/,Troubleshooting article,brat generator not working,"brat generator download not working; blank preview; blurry text; clipped text; mobile issues; browser issues",Fix a problem,"Own troubleshooting intent; /how-to-use/ links here instead of duplicating detailed fixes."
https://bratgeneratorpro.net/about/,Trust/about page,about brat generator,"who made brat generator; fan-made brat tool; browser-based design tool",Learn about the site,"Trust/entity page, not a primary commercial keyword target."
https://bratgeneratorpro.net/contact/,Support/contact page,contact brat generator,"brat generator support; bug report; rights concern; privacy question",Contact/support,"Support intent only; troubleshooting content links to dedicated help article when relevant."
https://bratgeneratorpro.net/privacy-policy/,Legal/trust page,brat generator privacy policy,"browser processing; hosting logs; cookies; analytics; privacy",Read privacy information,"Legal intent; no attempt to compete for tool keywords."
https://bratgeneratorpro.net/terms/,Legal/trust page,brat generator terms,"terms of use; disclaimer; commercial use; fan-made status",Read terms/disclaimer,"Legal intent; commercial-use cautions live here instead of being duplicated at length elsewhere."
